index,title,tags,authors,abstract
2505.24752,On Noether's Degree Bound for Finite Group Schemes,['math.AC'],"['Gregor Kemper', 'Christian Liedtke', 'Christiane Ott']","This paper establishes Noether's classical degree bound $β(G) \le |G|$ for finite and linearly reductive group schemes. On the other hand, we provide examples of infinitesimal group schemes where $β(G)$ is unbounded. We also generalize Molien's formula to finite and linearly reductive group schemes."
2505.24748,Equidistribution and arithmetic $Λ$-distributions,"['math.NT', 'math.AG']","['Matthew Bertucci', 'Sean Howe']","We formulate an abstract notion of equidistribution for families of $λ$-probability spaces parameterized by admissible $\mathbb{Z}$-sets. Under the assumption of equidistribution, we show that the $σ$-moment generating functions of certain infinite sums of random variables can be computed as motivic Euler products. Combining this result with earlier generalizations of Poonen's sieve, we compute the asymptotic $Λ$-distributions for several natural families of function field $L$-functions and zeta functions."
2505.24744,Neural Network-based Universal Formulas for Control,['math.OC'],"['Pol Mestres', 'Jorge Cortés', 'Eduardo D. Sontag']","We study the problem of designing a controller that satisfies an arbitrary number of affine inequalities at every point in the state space. This is motivated by the use of guardrails in autonomous systems. Indeed, a variety of key control objectives, such as stability, safety, and input saturation, are guaranteed by closed-loop systems whose controllers satisfy such inequalities. Many works in the literature design such controllers as the solution to a state-dependent quadratic program (QP) whose constraints are precisely the inequalities. When the input dimension and number of constraints are high, computing a solution of this QP in real time can become computationally burdensome. Additionally, the solution of such optimization problems is not smooth in general, which can degrade the performance of the system. This paper provides a novel method to design a smooth controller that satisfies an arbitrary number of affine constraints. This why we refer to it as a universal formula for control. The controller is given at every state as the minimizer of a strictly convex function. To avoid computing the minimizer of such function in real time, we introduce a method based on neural networks (NN) to approximate the controller. Remarkably, this NN can be used to solve the controller design problem for any task with less than a fixed input dimension and number of affine constraints, and is completely independent of the state dimension. Additionally, we show that the NN-based controller only needs to be trained with datapoints from a compact set in the state space, which significantly simplifies the training process. Various simulations showcase the performance of the proposed solution."
2505.24735,A Computational Search for Minimal Obstruction Graphs for the Lovász--Schrijver SDP Hierarchy,"['math.CO', 'cs.DM', 'math.OC']","['Yu Hin Au', 'Levent Tunçel']","We study the lift-and-project relaxations of the stable set polytope of graphs generated by $\text{LS}_+$, the SDP lift-and-project operator devised by Lovász and Schrijver. In particular, we focus on searching for $\ell$-minimal graphs, which are graphs on $3\ell$ vertices whose stable set polytope has rank $\ell$ with respect to $\text{LS}_+$. These are the graphs which are the most challenging for the $\text{LS}_+$ operator according to one of the main complexity measures (smallest graphs with largest $\text{LS}_+$-rank). We introduce the notion of $\text{LS}_+$ certificate packages, which is a framework that allows for efficient and reliable verification of membership of points in $\text{LS}_+$-relaxations. Using this framework, we present numerical certificates which (combined with other results) show that there are at least $49$ $3$-minimal graphs, as well as over $4000$ $4$-minimal graphs. This marks a significant leap from the $14$ $3$-minimal and $588$ $4$-minimal graphs known before this work, with many of the newly-discovered graphs containing novel structures which helps enrich and recalibrate our understanding of $\ell$-minimal graphs. Some of this computational work leads to interesting conjectures. We also find all of the smallest vertex-transitive graphs with $\text{LS}_+$-rank $\ell$ for every $\ell \leq 4$."
2505.24734,Real syntomic cohomology,"['math.AT', 'math.KT']","['Gabriel Angelini-Knoll', 'Hana Jia Kong', 'J. D. Quigley']","We introduce a theory of syntomic cohomology for ring spectra with involution, which we call Real syntomic cohomology. We show that our construction extends the theory of syntomic cohomology for rings with involution due to Park. Our construction also refines syntomic cohomology as developed by Bhatt--Morrow--Scholze, Morin, Bhatt--Lurie, and Hahn--Raksit--Wilson. We compute the Real syntomic cohomology of Real topological K-theory and topological modular forms with level structure."
2505.24720,Birational equivalence of Severi-Brauer varieties,"['math.AG', 'math.RA']",['János Kollár'],We prove Amitsur's conjecture for Severi-Brauer varieties whose index is not a prime power.
2505.24719,On the geometry of holomorphic curves and complex surface,['math.DG'],"['Amanda Dias Falqueto', 'Farid Tari']","We investigate the geometry of holomorphic curves and complex surfaces from the perspective of singularity theory. We show that, with a suitable choice of a complex bilinear symmetric form, the families of functions and mappings that measure the contact between curves or surfaces and model objects become holomorphic. This allows the application of singularity theory, yielding analogues of classical results from the real case. Our approach enables the definition of geometric invariants of curves, which we call the $C$-curvature and $C$-torsion, as well as surface invariants such as the $C$-principal curvature and $C$-Gaussian curvature. It also gives geometric meaning to the complexification of of the families measuring contact of analytic surfaces in $\mathbb R^3$ with lines, planes and spheres."
2505.24707,Vulnerability Measures and Zagreb Indices of Graphs,['math.CO'],"['Sanju Vaidya', 'Cheng Chang']","This paper establishes sharp bounds for the vulnerability measures of closeness and generalized closeness in graphs and identifies graphs that attain these bounds. It further develops bounds incorporating Zagreb indices for triangle- and quadrangle-free graphs, yielding formulas for closeness and generalized closeness in such graphs with diameter at most 3. Moreover, using Zagreb indices, we derive bounds for trees and connected graphs with girth at least 7, which are attained by graphs with diameter at most 4. Finally, formulas for closeness and generalized closeness in specific trees are established using Zagreb indices."
2505.24702,Relative non-pluripolar product of currents on compact Hermitian manifolds,"['math.DG', 'math.CV']","['Zhenghao Li', 'Shuang Su']","On a class of compact Hermitian manifolds including compact Kähler manifolds, we prove that the the relative non-pluripolar product is always well-defined. We also prove the monotonicity of the relative non-pluripolar product in terms of masses on such manifolds."
2505.24699,Geometric Littlewood-Offord problems via lattice point counting,"['math.CO', 'math.NT', 'math.PR']","['Alexandr Grebennikov', 'Matthew Kwan']","Consider nonzero vectors $a_{1},\dots,a_{n}\in\mathbb{C}^{k}$, independent Rademacher random variables $ξ_{1},\dots,ξ_{n}$, and a set $S\subseteq\mathbb{C}^{k}$. What upper bounds can we prove on the probability that the random sum $ξ_{1}a_{1}+\dots+ξ_{n}a_{n}$ lies in $S$? We develop a general framework that allows us to reduce problems of this type to counting lattice points in $S$. We apply this framework with known results from diophantine geometry to prove various bounds when $S$ is a set of points in convex position, an algebraic variety, or a semialgebraic set. In particular, this resolves conjectures of Fox-Kwan-Spink and Kwan-Sauermann.
  We also obtain some corollaries for the polynomial Littlewood-Offord problem, for polynomials that have bounded Chow rank (i.e., can be written as a polynomial of a bounded number of linear forms). For example, one of our results confirms a conjecture of Nguyen and Vu in the special case of polynomials with bounded Chow rank: if a bounded-degree polynomial $F\in\mathbb{C}[x_{1},\dots,x_{n}]$ has bounded Chow rank and ''robustly depends on at least $b$ of its variables'', then $\mathbb{P}[F(ξ_{1},\dots,ξ_{n})=0]\le O(1/\sqrt{b})$. We also prove significantly stronger bounds when $F$ is ''robustly irreducible'', towards a conjecture of Costello."
2505.24696,Cohomotopy and flux quantization in $M$-theory,"['math.AT', 'hep-th']",['Daniel Grady'],"We identify some of the $k$-invariants for the Postnikov tower of the stable and unstable 4-sphere. Assuming the stable Hypothesis H of Fiorenza--Sati--Schreiber, we use the resulting obstruction theory to prove that the Chern--Simons term in the effective action of M-theory is well defined. In particular, we do not assume the presence of an $E_8$-gauge field."
2505.24670,The Schur multiplier norm and its dual norm,"['math.FA', 'math.OA']",['Erik Christensen'],"We present a formula for the Schur multiplier norm of a complex self-adjoint matrix, and a formula for the norm, which is dual to the Schur multiplier norm, of a self-adjoint matrix.
  For a complex self-adjoint $n \times n $ matrix $X$ we show that its Schur multiplier norm is determined by $$ \|X\|_S = \min \{\, \|\mathrm{diag}(P)\|_\infty \, :\, - P \leq X \leq P \, \}.$$
  The dual space of $( M_n(\bc), \|.\|_S)$ is $(M_n(\bc), \|.\|_{cbB}).$ For $X=X^*:$ $$ \|X\|_{cbB} = \min \{ \, \mathrm{Tr}_n\big(Δ(λ)\big)\, :\, λ\in \br^n, \, - Δ(λ) \leq X \leq Δ(λ)\,\}. $$"
2505.24662,"From Group Operations to Geometric Structures: Amalgamations, HNN-Extensions, and Twisting in Coset Geometries","['math.GR', 'math.CO', 'math.GT']","['Claudio Alexandre Piedade', 'Philippe Tranchida']","Coset incidence geometries, introduced by Jacques Tits, provide a versatile framework for studying the interplay between group theory and geometry.
  In this article, we build upon that idea by extending classical group-theoretic constructions (amalgamated products, HNN-extensions, semi-direct products, and twisting) to the setting of coset geometries. This gives a general way to glue together incidence geometries in various ways. This provides a general framework for combining or gluing incidence geometries in different ways while preserving essential properties such as flag-transitivity and residual connectedness.
  Using these techniques, we analyze families of Shephard groups, which generalize both Coxeter and Artin-Tits groups, and their associated simplicial complexes.
  Our results also point to the existence of a Bass-Serre theory for coset geometries and of a fundamental geometry of a graph of coset geometries."
2505.24657,A note on multi-transitivity in non-autonomous discrete systems,['math.DS'],['Hongbo Zeng'],"This paper is concerned with some stronger forms of transitivity in non-autonomous discrete systems$(f_{ 1,\infty})$ generated by a uniformly convergent sequence of continuous self maps. Firstly, we present two counterexamples to show that Theorem 3.1 obtained by Salman and Das in [Multi-transitivity in nonautonomous discrete systems Topol. Appl. 278(2020)107237] is not true. Then, we introduce and study mildly mixing in non-autonomous discrete systems, which is stronger than mixing. We obtain that multi-transitivity implies Li-Yorke chaos and that mildly mixing implies multi-transitivity, which answer the open problems 1 and 2 in the paper above. Additionally, we give a counterexample which shows that Theorem 2.3 and Theorem 2.4 given by Sharma and Raghav in [On dynamics generated by a uniformly convergent sequence of maps Topol. Appl. 247 (2018)81-90] are both incorrect and give the correct proofs of them. Finally, some counterexamples are constructed justifying that some results related to stronger forms of transitivity which are true for autonomous systems but fail in non-autonomous systems, and establish a sufficient condition under which the results still hold in non-autonomous systems."
2505.24648,Dicritical divisors and hypercurvettes,['math.AG'],"['Enrique Artal Bartolo', 'Willem Veys']","Germs of rational functions~$h$ on points $p$ of smooth varieties~$S$ define germs of rational maps to the projective line. Assume that $p$ is in the indeterminacy locus of $h$. If $π:\hat{S}\to S$ is a birational map which is an isomorphism outside $p$, then $h$ lifts to a germ of a rational map on $(\hat{S}, π^{-1}(p))$. The exceptional components $E_i$ of $π^{-1}(p)$ are classified according to the restriction of (the lift of) $h$ to $E_i$; the dicritical components are those where this restriction induces a dominant map. In a series of papers, Abhyankar and the first named author studied this setting in dimension $2$, where the main result is that, for any given $π$, there is a rational function $h$ with a prescribed subset of exceptional components that are dicritical of some given degree. The concept of curvette of an exceptional component played a key role in the proof. The second named author extended previously the concept of curvette to the higher dimensional case. Here we use this concept to generalize the above result to arbitrary dimension."
2505.24647,Square Entropy and Uniform n-to-1 Bernoulli Transformations,"['math.DS', 'math-ph']","['Pouya Mehdipour', 'Somayeh Jangjooye Shaldehi']","In this paper, we define the so-called square entropy and prove that n-to-1 full zip shift maps are intrinsically ergodic. Furthermore, we show that square entropy characterizes uniform n-to-1 transformations of $(m,l)$-Bernoulli type that are extended Bernoulli transformations."
2505.24602,Well-posedness for a two-phase Stefan problem with radiation,['math.AP'],"['Elena Demattè', 'Juan J. L. Velázquez']","In this paper we consider a free boundary problem for the melting of ice where we assume that the heat is transported by conduction in both the liquid and the solid part of the material and also by radiation in the solid. Specifically, we study a one-dimensional two-phase Stefan-like problem which contains a non-local integral operator in the equation describing the temperature distribution of the solid. We will prove the local well-posedness of this free boundary problem combining the Banach fixed-point theorem and classical parabolic theory. Moreover, constructing suitable stationary sub- and supersolutions we will develop a global well-posedness theory for a large class of initial data."
2505.24599,Wild Betti sheaves,"['math.AG', 'math.AT', 'math.NT', 'math.SG']",['Peter Scholze'],"In this note, we consider the problem of constructing an enlargement of the category of Betti sheaves that supports an ``exponential local system'' on $\mathbb R$, and a Fourier equivalence defined on all sheaves. We show that there is a universal solution, recovering a construction of Tamarkin known also as ``enhanced sheaves''. The universality property implies that the category of coefficients of this theory is, in a suitable sense, a nontrivial $\mathbb R_{>0}$-torsor over $\mathrm{Spec}(\mathbb Z)$."
2505.24598,Anosov actions: minimality of foliations or suspension action,['math.DS'],"['Rodrigo R. Lopes', 'Carlos Maquera', 'Régis Varão']","We prove that an Anosov action of $\mathbb{R}^k$ over a compact manifold $M$ transitive on regular sub-cones satisfies the dichotomy: each stable and unstable leaf is dense or the Anosov action is topologically conjugated to a suspension of a $\mathbb{Z}^k$-Anosov action. This represents an important progress toward addressing Verjovsky's extended conjecture for Anosov actions, as developed by Barbot and Maquera."
2505.24588,On compact sets possessing $q$-convex functions,['math.CV'],"['Thomas Pawlaschyk', 'Nikolay Shcherbina']","We show that there exists a $q$-convex function in a neighborhood of a compact set $K$ in a complex manifold $\mathcal{M}$ if and only if the $q$-nucleus of this compact set is empty. The latter can be characterized as the maximal $q$-pseudoconcave subset of $K$, i.e., a subset of $K$ containing all other compact $q$-pseudoconcave subsets in $K$."
2505.24577,The Weak Version of the Graph Complement Conjecture and Partial Results for the Delta Conjecture,['math.CO'],"['Francesco Barioli', 'Shaun M. Fallat', 'Himanshu Gupta', 'Zhongshan Li']","Since the transformative workshop by the American Institute of Mathematics on the minimum rank of a graph, two longstanding open problems have captivated the community interested in the minimum rank of graphs: the graph complement conjecture and the $δ$-conjecture. In this paper, we use a classical result of Mader (1972) to establish a weak version of the graph complement conjecture for all key minimum rank parameters. In addition, again using the same result of Mader, we present some extremal resolutions of the $δ$-conjecture. Furthermore, we incorporate the assumption of the $δ$-conjecture and extensive work on graph degeneracy to improve the bound in the weak version of the graph complement conjecture. We conclude with a list of conjectured bounds on the positive semidefinite variant of the Colin de Verdière number."
2505.24572,Fine-tuning for Data-enabled Predictive Control of Noisy Systems by Reinforcement Learning,['math.OC'],"['Jinbao Wang', 'Shiliang Zhang', 'Jun Liu', 'Xuehui Ma', 'Haolin Liu']","Data-enabled predictive control (DeePC) leverages system measurements in characterizing system dynamics for optimal control. The performance of DeePC relies on optimizing its hyperparameters, especially in noisy systems where the optimal hyperparameters adapt over time. Existing hyperparameter tuning approaches for DeePC are more than often computationally inefficient or overly conservative. This paper proposes an adaptive DeePC where we guide its hyperparameters adaption through reinforcement learning. We start with establishing the relationship between the system I/O behavior and DeePC hyperparameters. Then we formulate the hyperparameter tuning as a sequential decision-making problem, and we address the decision-making through reinforcement learning. We implement offline training to gain a reinforcement learning model, and we integrate the trained model with DeePC to adjust its hyperparameters adaptively in real time. We conduct numerical simulations with diverse noisy conditions, and the results demonstrate the identification of near-optimal hyperparameters and the robustness of the proposed approach against noises in the control."
2505.24568,On the rate of convergence for Landau type Schrödinger Operators,['math.AP'],"['Yucheng Pan', 'Wenchang Sun']","We study the pointwise convergence of Landau type Schrödinger operators within the fractional Sobolev space $W^{s,p}(\mathbb R)$. Our results extend those established by Bailey (Rev. Mat. Iberoam., 29 (2): 531-546, 2013) and Yuan, Zhao and Zheng (Nonlinear Anal., 208: Paper No. 112312, 28, 2021). Furthermore, we also analyze the convergence rate of Landau type Schrödinger operators along curves and derive a sharp result for the case of convergence along vertical lines."
2505.24565,"Counting the number of $\mathbb{Z}_{p}$-and $\mathbb{F}_{p}[t]$-fixed points of a discrete dynamical system with applications from arithmetic statistics, III","['math.NT', 'math.DS']",['Brian Kintu'],"In this follow-up paper, we again inspect a surprising relationship between the set of fixed points of a polynomial map $\varphi_{d, c}$ defined by $\varphi_{d, c}(z) = z^d + c$ for all $c, z \in \mathcal{O}_{K}$ or $c, z \in \mathbb{Z}_{p}$ or $c, z \in \mathbb{F}_{p}[t]$ and the coefficient $c$, where $K$ is any number field (not necessarily real) of degree $n > 1$, $p>2$ is any prime integer, and $d>2$ is an integer. As in \cite{BK1,BK2} we again wish to study here counting problems that are inspired by exhilarating advances in arithmetic statistics, and also partly by point-counting results of Narkiewicz on totally complex $K$-periodic points and of Adam-Fares on $\mathbb{Q}_{p}$-periodic points (orbits) in arithmetic dynamics. In doing so, we then first prove that for any given prime $p\geq 3$ and any $\ell \in \mathbb{Z}^{+}$, the average number of distinct fixed points of any $\varphi_{p^{\ell}, c}$ modulo prime ideal $p\mathcal{O}_{K}$ (modulo $p\mathbb{Z}_{p}$) is bounded (if $\ell \in \mathbb{Z}^{+}\setminus\{1, p\}$) or zero or unbounded (if $\ell \in \{1, p\}$) as $c\to \infty$. Motivated further by an $\mathbb{F}_{p}(t)$-periodic point-counting result of Benedetto, we also find that the average number in $\mathbb{F}_{p}[t]$-setting behaves in the same way as in $\mathcal{O}_{K}$-setting. Finally, we then apply counting and statistical results from arithmetic statistics to immediately deduce here several counting and statistical results."
2505.24562,Gravity driven traveling bore wave solutions to the free boundary incompressible Navier-Stokes equations,['math.AP'],"['Noah Stevenson', 'Ian Tice']","We give the first mathematical construction of two-dimensional traveling bore wave solutions to the free boundary incompressible Navier-Stokes equations for a single finite depth layer of constant density fluid. Our construction is based on a rigorous justification of the formal shallow water limit, which postulates that in a certain scaling regime the full free boundary traveling Navier-Stokes system of PDEs reduces to a governing system of ODEs. We find heteroclinic orbits solving these ODEs and, through a delicate fixed point argument employing the Stokes problem in thin domains and a nonautonomous orbital perturbation theory, use these ODE solutions as the germs from which we build bore PDE solutions for sufficiently shallow layers."
2505.24555,Computing finite Weyl groupoids,"['math.RT', 'math.QA', 'math.RA']","['Iván Angiono', 'Leandro Vendramin']","We present algorithms to compute generalized root systems of Nichols algebras of diagonal type and of contragredient Lie superalgebras. As a consequence, we obtain an algorithm to compute the Lyndon words in the Kharchenko PBW basis associated to each positive root, along with their corresponding hyperwords. This data is essential for obtaining a minimal presentation of Nichols algebras of diagonal type with a finite root system."
2505.24548,Asymptotic version of the parametrix method for Markov chains converging to diffusions,['math.PR'],"['I. Bitter', 'V. Konakov']","The paper presents a generalization of the local limit theorem on the convergence of inhomogeneous Markov chains to the diffusion limit for the case where the corresponding process coefficients satisfy weak regularity conditions and coincide only asymptotically. In particular, the drift coefficients considered by us can be unbounded with at most linear growth, and the estimates reflect the transfer of the terminal state by an unbounded trend through the corresponding deterministic flow. Our approach is based on the study of the uniform distance between the transition densities of a given inhomogeneous Markov chain and the limit diffusion process, and the convergence rate estimate is obtained using the classical local limit theorem and parametrix-type stability estimates."
2505.24546,Weil polynomials of small degree,['math.NT'],['Stefano Marseglia'],"Honda and Tate showed that the isogeny classes of abelian varieties of dimension $g$ over a finite field $\mathbb{F}_q$ are classified in terms of $q$-Weil polynomials of degree $2g$, that is, monic integer polynomials whose set of complex roots consists of $g$ conjugate pairs of absolute value $\sqrt{q}$. There are descriptions of the space of such polynomials for $g \leq 5$, but for $g=3$, $4$ and $5$, these results contain mistakes. We correct these statements. Our proofs build on a criterion that determines when a real polynomial has only real roots in terms of the non-necessarily distinct roots of its first derivative."
2505.24530,A Combinatorial Study of the Fixed Point Index,['math.AT'],"['Jesús A. Álvarez López', 'Alejandro O. Majadas-Moure', 'David Mosquera-Lois']","We introduce a theory of integration with respect to the fixed point index, offering a substantial improvement over previous approaches based on the Lefschetz number. This framework eliminates several restrictive assumptions -- such as the need for definability, openness, or f-invariance of subspaces -- thereby allowing broader applicability. We also present a natural combinatorial adaptation of the fixed point index that extends the combinatorial Lefschetz number. This extension yields new topological and homotopical invariance results and facilitates the integration of real-valued functions with respect to fixed points."
