index,title,tags,authors,abstract
2504.20689,"DICOM Compatible, 3D Multimodality Image Encryption using Hyperchaotic Signal","['cs.CR', 'nlin.CD']","['Anandik N Anand', 'Sishu Shankar Muni', 'Abhishek Kaushik']","Medical image encryption plays an important role in protecting sensitive health information from cyberattacks and unauthorized access. In this paper, we introduce a secure and robust encryption scheme that is multi-modality compatible and works with MRI, CT, X-Ray and Ultrasound images for different anatomical region of interest. The method utilizes hyperchaotic signals and multi-level diffusion methods. The encryption starts by taking DICOM image as input, then padding to increase the image area. Chaotic signals are produced by a logistic map and are used to carry out pixel random permutation. Then, multi-level diffusion is carried out by 4-bit, 8-bit, radial and adjacent diffusion to provide high randomness and immunity against statistical attacks. In addition, we propose a captcha-based authentication scheme to further improve security. An algorithm generates alphanumeric captcha-based image which is encrypted with the same chaotic and diffusion methods as the medical image. Both encrypted images(DICOM image and captcha image) are then superimposed to create a final encrypted output, essentially integrating dual-layer security. Upon decryption, the superimposed image is again decomposed back to original medical and captcha images, and inverse operations are performed to obtain the original unencrypted data. Experimental results show that the proposed method provides strong protection with no loss in image integrity, thereby reducing unauthorized data breaches to a significant level. The dual-encryption approach not only protects the confidentiality of the medical images but also enhances authentication by incorporating captcha."
2504.20515,Integrability of homogeneous exact magnetic flows on spheres,"['math.DG', 'nlin.SI']","['Vladimir Dragovic', 'Borislav Gajic', 'Bozidar Jovanovic']","We consider motion of a material point placed in a constant homogeneous magnetic field in $\mathbb R^n$ and also motion restricted to the sphere $S^{n-1}$. While there is an obvious integrability of the magnetic system in $\mathbb R^n$, the integrability of the system restricted to the sphere $S^{n-1}$ is highly non-trivial. We prove complete integrability of the obtained restricted magnetic systems for $n\le 6$. The first integrals of motion of the magnetic flows on the spheres $S^{n-1}$, for $n=5$ and $n=6$, are polynomials of the degree $1$, $2$, and $3$ in momenta. We prove noncommutative integrability of the obtained magnetic flows for any $n\ge 7$ when the systems allow a reduction to the cases with $n\le 6$. We conjecture that the restricted magnetic systems on $S^{n-1}$ are integrable for all $n$."
2504.20418,An energy landscape-based theoretical framework for understanding the emergence of functions in a living system under the dynamical component interaction,"['physics.bio-ph', 'nlin.AO', 'doi', '10.1016/j.biosystems.2025.105631']","['Ryunosuke Suzuki', 'Taiji Adachi']","In a living system composed of interacting components such as molecules, cells, and tissues, each component often adaptively changes its internal states in response to interactions with its surrounding components. For example, individual tissues exhibit component-level adaptive behavior, such as growth and remodeling, in response to their mechanical interactions, resulting in the emergence of functions of a multi-tissue system. Along with the adaptive behavior of the components, their interactions exhibit dynamical changes, which strongly influence the emergence of system functions. To understand how the emergence of system functions occurs from such dynamical interactions due to component-level adaptive behavior, this study proposes a theoretical framework that formulates the dynamics of interactions among components due to the adaptive behavior of individual components. For modeling the adaptive internal state changes, we assign an energy landscape and its associated energy rate landscape for each component, leading to the generalized gradient flow model of adaptive behavior. Then, we represent interaction dynamics based on temporal changes in these energy and energy rate landscapes by formulating temporal changes in the environmental states of each component due to the adaptive behavior of individual components. Through case studies using simplified models of mechanically interacting tissues under morphological changes, our theoretical framework demonstrates that temporal changes in applied forces due to morphological changes of individual tissues determine the emergence of system functions. These findings highlight that expressing interaction dynamics based on temporal changes in energy and energy rate landscapes offers a powerful theoretical framework for understanding how system functions emerge from component-level adaptive behavior."
2504.20292,Integrable black hole dynamics in the asymptotic structure of AdS$_{3}$,"['hep-th', 'gr-qc', 'math-ph', 'nlin.PS', 'nlin.SI']","['Marcela Cárdenas', 'Francisco Correa', 'Miguel Pino']","This work deepens the study of integrable asymptotic symmetries for AdS$_{3}$. They are given by an infinite set of integrable nonlinear equations known as the Ablowitz-Kaup-Newell-Segur (AKNS) hierarchy, characterized by an also infinite set of abelian conserved charges. We present their field-dependent Killing vectors and the computation of the canonical charges associated to the asymptotic metric, together with their corresponding charge algebra. We study black hole thermodynamics and show that the temperature for stationary black holes falling in the AKNS asymptotics is always constant, even in the case where the solutions are not axisymmetric. This is related to the existence of a hyperelliptic curve, which appears as a fundamental object in many integrable systems. We also present a special solution associated with the Korteweg-de Vries equation, that is a particular case of the AKNS integrable hierarchy. It is presented in the form of a periodic soliton leading to a cnoidal KdV black hole, whose temperature is characterized by two copies of hyperelliptic curves."
2504.20270,Chaos and Regularity in an Anisotropic Soft Squircle Billiard,['nlin.CD'],"['A. González-Andrade', 'H. N. Núñez-Yépez', 'M. A. Bastarrachea-Magnani']","A hard-wall billiard is a mathematical model describing the confinement of a free particle that collides specularly and instantaneously with boundaries and discontinuities. Soft billiards are a generalization that includes a smooth boundary whose dynamics are governed by Hamiltonian equations and overcome overly simplistic representations. We study the dynamical features of an anisotropic soft-wall squircle billiard. This curve is a geometric figure that seamlessly blends the angularity of a square with the smooth curves of a circle. We characterize the billiard's emerging trajectories, exhibiting the onset of chaos and its alternation with regularity in the parameter space. We characterize the transition to chaos and the stabilization of the dynamics by revealing the nonlinearity of the parameters (squarness, ellipticity, and hardness) via the computation of Poincaré surfaces of section and the Lyapunov exponent across the parameter space. We expect our work to introduce a valuable tool to increase understanding of the onset of chaos in soft billiards."
2504.20243,Integrable systems approach to the Schottky problem and related questions,"['math.AG', 'nlin.SI']","['Samuel Grushevsky', 'Yuancheng Xie']","We give a somewhat informal introduction to the integrable systems approach to the Schottky problem, explaining how the theta functions of Jacobians can be used to provide solutions of the KP equation, and culminating with the exposition of Krichever's proof of Welters' trisecant conjecture in the most degenerate (flex line) case."
2504.20181,Phase-locking in dynamical systems and quantum mechanics,"['cond-mat.stat-mech', 'hep-th', 'math.DS', 'nlin.PS', 'quant-ph']","['Artem Alexandrov', 'Alexey Glutsyuk', 'Alexander Gorsky']","In this study, we discuss the Prufer transform that connects the dynamical system on the torus and the Hill equation, which is interpreted as either the equation of motion for the parametric oscillator or the Schrodinger equation with periodic potential. The structure of phase-locking domains in the dynamical system on torus is mapped into the band-gap structure of the Hill equation. For the parametric oscillator, we provide the relation between the non-adiabatic Hannay angle and the Poincare rotation number of the corresponding dynamical system. In terms of quantum mechanics, the integer rotation number is connected to the quantization number via the Milne quantization approach and exact WKB. Using recent results concerning the exact WKB approach in quantum mechanics, we discuss the possible non-perturbative effects in the dynamical systems on the torus and for parametric oscillator. The semiclassical WKB is interpreted in the framework of a slow-fast dynamical system. The link between the classification of the coadjoint Virasoro orbits and the Hill equation yields a classification of the phase-locking domains in the parameter space in terms of the classification of Virasoro orbits. Our picture is supported by numerical simulations for the model of the Josephson junction and Mathieu equation."
2504.20162,Anti-localization of non-stationary quasi-waves in a strongly nonlinear $β$-FPUT chain,"['nlin.PS', 'physics.class-ph']","['Serge N. Gavrilov', 'Ekaterina V. Shishkina', 'Bogdan S. Borisenkov']","Recently, a new general wave phenomenon, namely ""the anti-localization of non-stationary linear waves"", has been introduced and discussed (Shishkina et al., J. Sound. Vib. 553, 2023, 117673). This is zeroing of the propagating component for a non-stationary wave-field near a defect in infinitely long wave-guides. The phenomenon is known to be observed in both continuum and discrete mechanical systems with a defect, provided that the frequency spectrum for the corresponding homogeneous system possesses a stop-band. In this paper, we show that the anti-localization is also quite common for nonlinear systems. To demonstrate this, we numerically solve several non-stationary problems for an infinite strongly nonlinear $β$-FPUT chain with a defect. In our opinion, the anti-localization essentially influences the processes of heat transfer in linear and nonlinear lattices."
2504.20002,"Global stability of the Atlantic overturning circulation: Edge states, long transients and a boundary crisis under CO$_2$ forcing","['nlin.CD', 'math.DS', 'physics.ao-ph']","['Reyk Börner', 'Oliver Mehling', 'Jost von Hardenberg', 'Valerio Lucarini']","The Atlantic Meridional Overturning Circulation (AMOC), a crucial ocean current system, could transition to a weak state. Despite severe associated climate impacts, assessing the AMOC's response under global warming and its proximity to possible critical thresholds remains difficult. To understand future Earth system stability, a global dynamical view is needed beyond the local stability analysis underlying classical early-warning methods. Using an intermediate-complexity climate model, we explore the stability landscape of the AMOC for different atmospheric CO$_2$ concentrations. We explicitly compute the edge state (or Melancholia state), a chaotic saddle on the basin boundary separating the strong and weak AMOC attractors found in the model. While being unstable, the edge state can govern the transient climate for centuries, supporting centennial AMOC oscillations driven by atmosphere-ice-ocean interactions in the North Atlantic. At increased CO$_2$ levels projected for the near future, we reveal a boundary crisis where the current AMOC attractor disappears by colliding with the edge state. Under crisis overshoot, long chaotic transients due to ""ghost states"" lead to diverging ensemble trajectories under time-varying forcing. Rooted in dynamical systems theory, our results offer an explanation of large ensemble variance and apparent ""stochastic bifurcations"" observed in earth system models under intermediate forcing scenarios."
2504.19947,Nonlinear states of the conservative complex Swift-Hohenberg equation,"['nlin.PS', 'doi', '10.1007/s11071-025-11195-z']","['Rudy Kusdiantara', 'Hadi Susanto']","We consider the conservative complex Swift-Hohenberg equation, which belongs to the family of nonlinear fourth-order dispersive Schrödinger equations. In contrast to the well-studied one-dimensional dissipative Swift-Hohenberg equation, the complex variant introduces a wide array of largely unexplored solutions. Our study provides a fundamental step in understanding the complex characteristics of this equation, particularly for typical classes of solutions-uniform, periodic, and localized states-and their relationship with the original dissipative model. Our findings reveal significant differences between the two models. For instance, uniform solutions in the conservative model are inherently unstable, and periodic solutions are generally unstable except within a narrow parameter interval that supports multiple localized states. Furthermore, we establish a generalized Vakhitov-Kolokolov criterion to determine the stability of localized states in the conservative equation and relate it to the stability properties of the dissipative counterpart."
2504.19921,The impact of strong activity disruption on building energetics,"['physics.soc-ph', 'nlin.AO', 'stat.AP']","['Yu-Hsuan Hsu', 'Sara Beery', 'Christopher P. Kempes', 'Mingzhen Lu', 'Serguei Saavedra']","Evidence shows that biological organisms tend to be more energetically efficient per unit size. These scaling patterns observed in biological organisms have also been observed in the energetic requirements of cities. However, at lower levels of organization where energetic interventions can be more manageable, such as buildings, this analysis has remained more elusive due to the difficulties in collecting fine-grained data. Here, we use the maintenance energy usage in buildings at the Massachusetts Institute of Technology (MIT) from 2009 to 2024 to analyze energetic trends at the scale of individual buildings and their sensitivity to strong external perturbations. We find that, similar to the baseline metabolism of biological organisms, large buildings are on average $24\%$ more energetically efficient per unit size than smaller buildings. Because it has become debatable how to better measure the efficiency of buildings, this scaling pattern naturally establishes a baseline efficiency for buildings, where deviations from the mean would imply a more or less efficient building than the baseline according to volume. This relative efficiency progressively increased to $34\%$ until 2020. However, the strong activity disruption caused by the COVID-19 pandemic acted as a major shock, removing this trend and leading to a reversal to the expected $24\%$ baseline level. This suggests that energetic adaptations are contingent on relatively stable conditions."
2504.19906,Supratransmission of rogue wave-like breathing solitons,"['nlin.PS', 'doi', '10.1016/j.chaos.2025.116452']","['Abrari Noor Hasmi', 'Hadi Susanto']","Supratransmission is a fascinating and counterintuitive nonlinear wave phenomenon that enables energy transmission through frequency band gaps. Recent studies have suggested that supratransmission in a damped-driven Klein-Gordon equation can lead to the formation of rogue waves. In this work, we reduce the same model to a damped and driven discrete nonlinear Schrödinger equation and demonstrate that the claimed rogue waves are unstable solitons exhibiting breathing dynamics. Through extensive numerical simulations, we thoroughly investigate and analyze the behavior of solitons and supratransmission in these lattices. Additionally, we perform asymptotic analysis to explain the underlying mechanism responsible for supratransmission. Our findings provide new insights into the dynamics of nonlinear waves and their stability in such systems."
2504.19655,Oscillation death by mechanochemical feedback,"['cond-mat.soft', 'cond-mat.stat-mech', 'nlin.PS', 'physics.bio-ph']","['Phanindra Dewan', 'Soumyadeep Mondal', 'Sumantra Sarkar']","Many cellular proteins, such as ERK, undergo oscillation death when cells are compressed, initiating many developmental processes in organisms. Whether such a transition arises from these proteins' specific biochemistry or generic dynamical features remains unclear. In this paper, we show that coupling mechanics to the chemistry of Hopf oscillators, such as ERK, through mechanochemical feedback (MCF) can generically drive oscillation death upon compression. We demonstrate this result using an active solid, a 1D ring of Brusselators coupled through damped springs, which we term Harmonic Brusselator Ring (HBR). Because of MCF, HBR's dynamics is non-Hermitian and breaks $\mathcal{PT}$-symmetry in a scale-dependent manner, generating a rich array of patterns, including traveling pulses, chimera states, intermittent fluctuations, and collective oscillation death. Furthermore, MCF engenders three dynamic phase transitions that separate the observed patterns into four phases. The underlying symmetry of HBR implies that the observed patterns and phases may generically arise in many natural and synthetic systems."
2504.19609,Breather and Positon excitations in a nonlinear electrical transmission line modeled by the Kundu-Eckhaus Equation,['nlin.PS'],"['N. Sinthuja', 'M. Senthilvelan', 'K. Murali']","In this study, we explore the dynamics of breathers and positons in a nonlinear electrical transmission line modeled by the modified Naguchi circuit, governed by the Kundu-Eckhaus equation. Utilizing the reductive perturbation method and a specific transformation, we analyze the influence of different time-dependent linear potentials on these nonlinear wave structures. The analysis is conducted for three representative cases: (i) a constant potential, which modifies the orientation and amplitude of breathers and positons, (ii) a periodically modulated potential, which transforms them into crescent-shaped structures with unique spatial characteristics, and (iii) an exponentially varying potential, which induces asymmetric crescent-shaped waveforms. Additionally, we show that linear potentials significantly influence breather and positon dynamics in the modified electrical transmission line by altering their position and positon amplitude-constant potentials maintain peaks at the origin, periodic potentials shift breathers forward and positons backward, while exponential potentials move breathers backward and positons forward. Our findings highlight the critical role of external modulation in shaping wave propagation, localizing waves, and altering their amplitude, demonstrating its potential for controlling wave dynamics in nonlinear transmission lines. Unlike previous studies that focused on rogue waves, this work provides new insights into the evolution of breathers and positons under external perturbations. The results may have significant implications for applications in electrical transmission networks."
2504.19016,Solitary states in spiking oscillators with higher-order interactions,['nlin.AO'],"['Vladimir V. Semenov', 'Subhasanket Dutta', 'Stefano Boccaletti', 'Charo I. del Genio', 'Sarika Jalan', 'Anna Zakharova']","We study a system of globally coupled FitzHugh-Nagumo oscillators, showing that the presence of higher-order interactions affects the character of the transition between synchronous and asynchronous states. In particular, we demonstrate that, around the synchronization transition, solitary states emerge due to the presence of second-order interactions. In difference to the phenomenology observed in systems of phase oscillators, we show that, at low coupling strengths, solitary states appear for both transition directions, whereas for higher couplings they only occur in the forward direction, with the backwards one characterized by explosive desynchronization."
2504.19007,Learning Stochastic Thermodynamics Directly from Correlation and Trajectory-Fluctuation Currents,"['cond-mat.stat-mech', 'cond-mat.dis-nn', 'cs.LG', 'nlin.AO', 'stat.ML']","['Jinghao Lyu', 'Kyle J. Ray', 'James P. Crutchfield']","Markedly increased computational power and data acquisition have led to growing interest in data-driven inverse dynamics problems. These seek to answer a fundamental question: What can we learn from time series measurements of a complex dynamical system? For small systems interacting with external environments, the effective dynamics are inherently stochastic, making it crucial to properly manage noise in data. Here, we explore this for systems obeying Langevin dynamics and, using currents, we construct a learning framework for stochastic modeling. Currents have recently gained increased attention for their role in bounding entropy production (EP) from thermodynamic uncertainty relations (TURs). We introduce a fundamental relationship between the cumulant currents there and standard machine-learning loss functions. Using this, we derive loss functions for several key thermodynamic functions directly from the system dynamics without the (common) intermediate step of deriving a TUR. These loss functions reproduce results derived both from TURs and other methods. More significantly, they open a path to discover new loss functions for previously inaccessible quantities. Notably, this includes access to per-trajectory entropy production, even if the observed system is driven far from its steady-state. We also consider higher order estimation. Our method is straightforward and unifies dynamic inference with recent approaches to entropy production estimation. Taken altogether, this reveals a deep connection between diffusion models in machine learning and entropy production estimation in stochastic thermodynamics."
2504.18891,Cauchy-Jacobi orthogonal polynomials and the discrete CKP equation,"['math-ph', 'nlin.SI']","['Shi-Hao Li', 'Satoshi Tsujimoto', 'Ryoto Watanabe', 'Guo-Fu Yu']","This paper intends to construct discrete spectral transformations for Cauchy-Jacobi orthogonal polynomials, and find its corresponding discrete integrable systems. It turns out that the normalization factor of Cauchy-Jacobi orthogonal polynomials acts as the $τ$-function of the discrete CKP equation, which has applications in Yang-Baxter equation, integrable geometry, cluster algebra, and so on."
2504.18775,Robust Wave Splitters Based on Scattering Singularities in Complex non-Hermitian Systems,"['cond-mat.mes-hall', 'nlin.CD', 'physics.optics']","['Jared Erb', 'Nadav Shaibe', 'Tsampikos Kottos', 'Steven M. Anlage']","We have discovered specific conditions for generic scattering systems to act as wave splitters that are robust to any change in relative amplitude or phase of an arbitrary injected waveform. Specifically for complex systems with tunable parameters, these conditions for robust splitting (RS) are abundant, and by using multiple tunable parameters the relative amplitude and phase of the output signals can also be tuned. The splitting property of the systems works for all possible input phase differences and amplitude ratios and does not require a particular coherent input signal. We show experimentally that the fixed splitting ratios and output phases at RS conditions are robust to 100 dB of relative power and 2$π$ phase changes of the input waves to a complex non-Hermitian two-port system. We also demonstrate that the splitting power ratio can be tuned by multiple orders of magnitude and the RS conditions can be tuned to any desired frequency with suitable tunable perturbations embedded in the system. Although this phenomenon is realized in two-port systems and involves some degree of attenuation, tunable robust splitting can be achieved between any two ports of multiport systems. These results are general to all wave scattering phenomena (electromagnetic, acoustic, etc.) and hold in generic complex scattering systems."
2504.18542,Algorithm classifying roots of star-shaped Kac-Moody root systems,"['math.RT', 'math-ph', 'math.CA', 'nlin.SI']",['Toshio Oshima'],"For a star-shaped Kac-Moody root system, we provide an effective algorithm to obtain representatives of the Weyl group orbits of roots with a given norm and implement it as a computer program. We also explain the relationship between these orbits and Fuchsian differential equations on the Riemann sphere, as well as higher-dimensional Painleve-type equations."
2504.18475,Quasi-Einstein structures and Hitchin's equations,"['math.DG', 'gr-qc', 'hep-th', 'nlin.SI']","['Alex Colling', 'Maciej Dunajski']","We prove (Theorem 1.1.) that a class of quasi-Einstein structures on closed manifolds must admit a Killing vector field. This extends the rigidity theorem obtained in \cite{DL23} for the extremal black hole horizons and completes the classification of compact quasi-Einstein surfaces in this class. We also explore special cases of the quasi-Einstein equations related to integrability and the Hitchin equations, as well as to Einstein-Weyl structures and Kazdan-Warner type PDEs. This leads to novel explicit examples of quasi-Einstein structures on (non-compact) surfaces and on $S^2 \times S^1$."
2504.18285,Closed real plane curves of hyperelliptic solutions of focusing gauged modified KdV equation of genus $g$,"['nlin.SI', 'math-ph', 'math.AG']",['Shigeki Matsutani'],"The real part of the focusing modified Korteweg-de Vries (MKdV) equation defined over the complex field $\mathbb{C}$ is reduced to the focusing gauged MKdV (FGMKdV) equation. In this paper, we construct the real hyperelliptic solutions of FGMKdV equation in terms of data of the hyperelliptic curves of genus $g$ and demonstrate the closed hyperelliptic plane curves of genus $g=5$ whose curvature obeys the FGMKdV equation by extending the previous results of genus three (Matsutani, {\it{J. Geom. Phys}} {\bf{215}} (2025) 105540). These are a generalization of Euler's elasticae."
2504.18258,Transmission of Positons in a Modified Noguchi Electrical Transmission Line,"['nlin.PS', 'nlin.SI']","['N. Sinthuja', 'M. Senthilvelan', 'K. Murali']","In previous studies, the propagation of localized pulses (solitons, rogue waves and breathers) in electrical transmission lines has been studied. In this work, we extend this study to explore the transmission of positon solutions or positons in the modified Noguchi electrical transmission line model. By converting the circuit equations into the nonlinear Schrödinger equation, we identify positons, a special type of solution with algebraic decay and oscillatory patterns. Unlike solitons, which are used for stable energy transmission, positons provide persistent energy localization and controlled spreading over long distances. We consider second-order and third-order positon solutions and examine their transmission behaviour in electrical lines. We show that over long times, the amplitude and width of both second- and third-order positons remain largely unaffected, indicating stable transmission. We also analyze what are the parameters affect the amplitude and localization of this kind of waves. Our investigations reveal that the amplitude and localization of positons are significantly influenced by the parameter $ε$ that appear in the solution. Our findings have practical implications for improving energy transmission in electrical systems, where the management of wave localization and dispersion is crucial."
